platform,komentar,timestamp,sentimen
instagram,Aura fb pro nya kuat,2025-02-07T09:52:01.000Z,negatif
instagram,Terus nasib siswanya itu gmn ?serius nanya,2025-02-07T12:45:25.000Z,positif
instagram,Dia tuh bukan guru ga sih? Lebih ke TU?,2025-03-13T03:27:21.000Z,positif
instagram,"Biasana yg rajin mlhn yg honorer, yg pns mlhn mls2an",2025-03-18T12:56:16.000Z,positif
instagram,"Kasi sanksi donk, oknum PNS gitu merugikan siswa",2025-02-07T00:12:32.000Z,positif
instagram,"""Siapa yang mendatangkan banjir"" Ibuk itu kah?",2025-03-08T21:27:31.000Z,positif
instagram,Honorer lebih pantas di gaji besar daripada pns kenapa karna mental sdm kita pas dapat bayaran gede males malesan 😢,2025-02-07T13:34:25.000Z,positif
instagram,"Aku gak membenarkan ya, tapi aku liat skrg kok bu guru itu kerjaannya banyak bgt input data bikin laporan dll. Sampe guru tk anakku pun sekolahnya 3 jam input datanya sampe sore. Harusnya sekolah ada adminnya juga gak sih khusus input data dll. Biar gurunya fokus ngajar..",2025-02-13T08:10:47.000Z,positif
instagram,kocaakk,2025-02-07T00:37:09.000Z,positif
instagram,apalah guru ini,2025-03-10T00:39:12.000Z,positif
instagram,Jilbab item : tak titik weee,2025-03-08T14:07:55.000Z,positif
instagram,Yg ga punya apk tiktok like ,2025-02-08T13:17:49.000Z,netral
instagram,aura aura suka gosipnya kuat bngt,2025-02-08T03:49:37.000Z,negatif
instagram,Pantes di Amerika Tiktok di larang sdh brp korban.. Gara2 tiktok,2025-02-07T00:20:15.000Z,positif
instagram,"Pak presiden harus bikin aturan larangan semua asn bermain tiktok, karna sangat merugikan sekali",2025-02-07T00:44:06.000Z,positif
instagram,Ahirnya mereka jadi materi konten😂,2025-02-07T20:08:00.000Z,netral
instagram,Mata para siswa ga BS di bohongin. Penuh amarah n kekecewaan.,2025-02-07T00:15:26.000Z,positif
instagram,"hapuskan uang pensiun ganti dg pesangon, kurangi jumlah PNS",2025-02-07T17:23:47.000Z,netral
instagram,BIKIN LARANGAN ASN UNTUK BERMAIN TIKTOK WAKTU JAM KERJA LAH ATAU BIKIN LARANGAN KETIKA MASIH PAKAI BAJU DINAS DI LARANGAN BERMAIN TIKTOK !!!,2025-02-08T01:10:56.000Z,positif
instagram,"Gua gak pernah ngwrasain donlot tiktok, makai apk tiktok.. rasanya kaya apa sih",2025-02-07T03:01:59.000Z,positif
instagram,Yg beginian gaji malah dinaikin,2025-02-07T00:08:28.000Z,positif
instagram,"tiga kata oot ""Asik bikin konten""😍",2025-04-19T23:20:40.000Z,negatif
instagram,ko nangis bu?,2025-04-24T16:19:18.000Z,positif
