platform,komentar,timestamp,sentimen,komentar_bersih
instagram,Aura fb pro nya kuat,2025-02-07T09:52:01.000Z,negatif,aura fb pro nya kuat
instagram,Terus nasib siswanya itu gmn ?serius nanya,2025-02-07T12:45:25.000Z,positif,nasib siswa gmn serius nanya
instagram,Dia tuh bukan guru ga sih? Lebih ke TU?,2025-03-13T03:27:21.000Z,positif,tuh guru ga sih tu
instagram,"Biasana yg rajin mlhn yg honorer, yg pns mlhn mls2an",2025-03-18T12:56:16.000Z,positif,biasana yg rajin mlhn yg honorer yg pns mlhn mlsan
instagram,"Kasi sanksi donk, oknum PNS gitu merugikan siswa",2025-02-07T00:12:32.000Z,positif,kasi sanksi donk oknum pns gitu rugi siswa
instagram,"""Siapa yang mendatangkan banjir"" Ibuk itu kah?",2025-03-08T21:27:31.000Z,positif,banjir ibuk kah
instagram,Honorer lebih pantas di gaji besar daripada pns kenapa karna mental sdm kita pas dapat bayaran gede males malesan 😢,2025-02-07T13:34:25.000Z,positif,honorer gaji pns karna mental sdm pas bayar gede males malesan
instagram,"Aku gak membenarkan ya, tapi aku liat skrg kok bu guru itu kerjaannya banyak bgt input data bikin laporan dll. Sampe guru tk anakku pun sekolahnya 3 jam input datanya sampe sore. Harusnya sekolah ada adminnya juga gak sih khusus input data dll. Biar gurunya fokus ngajar..",2025-02-13T08:10:47.000Z,positif,gak benar ya liat skrg bu guru kerja bgt input data bikin lapor dll sampe guru tk anak sekolah jam input data sampe sore sekolah adminnya gak sih khusus input data dll biar guru fokus ngajar
instagram,kocaakk,2025-02-07T00:37:09.000Z,positif,kocaakk
instagram,apalah guru ini,2025-03-10T00:39:12.000Z,positif,apa guru
instagram,Jilbab item : tak titik weee,2025-03-08T14:07:55.000Z,positif,jilbab item titik weee
instagram,Yg ga punya apk tiktok like ,2025-02-08T13:17:49.000Z,netral,yg ga apk tiktok like
instagram,aura aura suka gosipnya kuat bngt,2025-02-08T03:49:37.000Z,negatif,aura aura suka gosip kuat bngt
instagram,Pantes di Amerika Tiktok di larang sdh brp korban.. Gara2 tiktok,2025-02-07T00:20:15.000Z,positif,pantes amerika tiktok larang sdh brp korban gara tiktok
instagram,"Pak presiden harus bikin aturan larangan semua asn bermain tiktok, karna sangat merugikan sekali",2025-02-07T00:44:06.000Z,positif,presiden bikin atur larang asn main tiktok karna rugi
instagram,Ahirnya mereka jadi materi konten😂,2025-02-07T20:08:00.000Z,netral,ahirnya materi konten
instagram,Mata para siswa ga BS di bohongin. Penuh amarah n kekecewaan.,2025-02-07T00:15:26.000Z,positif,mata siswa ga bs bohongin penuh amarah n kecewa
instagram,"hapuskan uang pensiun ganti dg pesangon, kurangi jumlah PNS",2025-02-07T17:23:47.000Z,netral,hapus uang pensiun ganti dg sangon kurang pns
instagram,BIKIN LARANGAN ASN UNTUK BERMAIN TIKTOK WAKTU JAM KERJA LAH ATAU BIKIN LARANGAN KETIKA MASIH PAKAI BAJU DINAS DI LARANGAN BERMAIN TIKTOK !!!,2025-02-08T01:10:56.000Z,positif,bikin larang asn main tiktok jam kerja bikin larang pakai baju dinas larang main tiktok
instagram,"Gua gak pernah ngwrasain donlot tiktok, makai apk tiktok.. rasanya kaya apa sih",2025-02-07T03:01:59.000Z,positif,gua gak ngwrasain donlot tiktok maka apk tiktok kaya sih
instagram,Yg beginian gaji malah dinaikin,2025-02-07T00:08:28.000Z,positif,yg gaji dinaikin
instagram,"tiga kata oot ""Asik bikin konten""😍",2025-04-19T23:20:40.000Z,negatif,oot asik bikin konten
instagram,ko nangis bu?,2025-04-24T16:19:18.000Z,positif,ko nang bu
instagram,"Baru kali ini guru dihujat beneran kemaren kemaren murit dan orang tua mencoba berkali2 menghujat dengan cara yg viral anak dipukul lah anak dihukum lah  tapi tak berhasil , kali ini kena hujat se-Indonesia beneran ...",2025-02-07T00:29:00.000Z,positif,kali guru hujat beneran kemaren kemaren murit orang tua coba kali hujat yg viral anak pukul anak hukum hasil kali kena hujat indonesia beneran
instagram,kakekan tiktok an,2025-04-18T03:46:47.000Z,positif,kakek tiktok an
twitter,"wlpn memang guru ku itu pakai motor ya tpi pasti butuh bensin kan tiap hari nya, dengan gaji yang pas pasan tpi kebutuhannya yang banyak itu, bener bener menyebalkan gimna pemerintah yang harusnya bisa mensejahterakan setiap rakyat, justru lalai dan gak bisa ngelakuin apa apa",2025-05-02T04:47:03.000Z,positif,wlpn guru ku pakai motor ya tpi butuh bensin nya gaji pas pas tpi butuh bener bener sebal gimna perintah sejahtera rakyat lalai gak ngelakuin
twitter,"Bukan tugas guru pak, tugas orang tua  anak problematik lahir dari orang tua yg abai dan lalai, kereut ceuli aing lamun teu kieu. Sekolah tuh bukan gak sanggup ngadepin anak, tapi gak sanggup ngadepin orang tuanya. Jadi, kalo mau masukin anak ke barak masukin juga orang tuanya.",2025-05-01T03:02:40.000Z,positif,tugas guru tugas orang tua anak problematik lahir orang tua yg abai lalai kereut ceuli aing lamun teu kieu sekolah tuh gak sanggup ngadepin anak gak sanggup ngadepin orang tua kalo masukin anak barak masukin orang tua
twitter,"""kata bu guru gak boleh lalai sama hak orang lain""

- Jin",2025-04-25T23:28:18.000Z,positif,bu guru gak lalai hak orang jin
twitter,"datengin gurunya, laporin dan minta ketemu sm orgtuanya. kalau orgtuanya bilang ga mungkin kek atau namanya jg anak kecil, ajak berantem aja udah. tegur jg gurunya, masa bisa lepas dr pengawasan? anak TK itu rata2 1 guru 5 anak, masa lalai?",2025-04-24T11:59:52.000Z,positif,datengin guru laporin ketemu sm orgtuanya orgtuanya bilang ga kek nama jg anak ajak antem aja udah tegur jg guru lepas dr awas anak tk guru anak lalai
twitter,eh kasus sekolah mana ya yg rame guru lalai daftarin pdss ntu... smpe siswanya demo,2025-04-24T11:32:01.000Z,positif,eh sekolah ya yg rame guru lalai daftarin pdss ntu smpe siswa demo
